0	1	2

1		1
1		2
1		3
1		4
1		5
1		7
1		8
1		9
1		11
1		13
1		15
1		16
1		18
1		19
1		21
1		22
1		25
1		26
1		28
1		29
1		30
1		32
1		34
1		35
1		37
1		38
1		40
1		41
1		42
1		43
1		45
1		46
1		48
1		50
1		52
1		55
1		57
1		58
1		59
1		63
1		66
1		68
1		71
1		75
1		77
1		79
1		83
1		87
1		88
1		89
1		93
1		94
1		95
1		99
1		101
1		105
1		106
1		109
1		110
1		111
1		115
1		116
1		119
1		122
1		123
1		124
1		126
1		127
1		131
1		133
1		135
1		136
1		137
1		138
1		139
1		141
1		142
1		144
1		146
1		147
1		149
1		152
1		153
1		156
1		158
1		162
1		165
1		166
1		167
1		168
1		169
1		172
1		173
1		176
1		178
1		179
1		181
1		182
1		187
1		191
1		192
1		194
1		195
1		197
1		198
1		199
1		203
1		204
1		205
1		207
1		211
1		216
1		217
1		220
1		223
1		231
1		234
1		237
1		238
1		239
1		240
1		244
1		245
1		246
1		247
1		249
1		251
1		256
1		257
1		261
1		263
1		268
1		269
1		270
1		271
2		1
2		10
2		14
2		25
2		100
2		111
2		127
2		237
2		242
2		255
2		258
2		269
2		272
2		273
2		274
2		275
2		276
2		277
2		278
2		282
2		283
2		284
2		285
2		286
2		287
2		288
2		289
2		291
2		293
2		294
2		295
2		296
2		300
2		302
2		304
2		305
2		306
2		309
2		310
2		311
3		181
3		258
3		260
3		268
3		271
3		288
3		302
3		303
3		317
3		319
3		320
3		321
3		322
3		325
3		326
3		329
3		333
3		336
3		338
3		339
3		340
3		342
3		344
3		346
3		347
3		352
3		353
3		355
4		11
4		210
4		258
4		271
4		300
4		301
4		324
4		327
4		328
4		329
4		358
4		359
4		360
4		362
5		21
5		25
5		29
5		50
5		63
5		66
5		70
5		95
5		99
5		101
5		105
5		121
5		135
5		145
5		151
5		162
5		163
5		168
5		169
5		172
5		174
5		181
5		183
5		186
5		189
5		194
5		200
5		204
5		208
5		210
5		216
5		226
5		228
5		229
5		233
5		235
5		239
5		250
5		257
5		365
5		366
5		367
5		368
5		371
5		373
5		374
5		375
5		378
5		380
5		381
5		383
5		386
5		387
5		390
5		392
5		395
5		396
5		398
5		399
5		401
5		404
5		405
5		406
5		408
5		409
5		412
5		414
5		415
5		416
5		419
5		420
5		425
5		427
5		430
5		431
5		432
5		434
5		437
5		438
5		440
5		442
5		443
5		446
5		447
5		448
5		449
5		450
5		451
5		452
5		455
5		456
6		1
6		7
6		8
6		9
6		12
6		13
6		21
6		22
6		47
6		50
6		64
6		71
6		79
6		89
6		111
6		127
6		132
6		137
6		153
6		165
6		166
6		168
6		169
6		170
6		173
6		174
6		177
6		178
6		182
6		185
6		186
6		191
6		192
6		194
6		200
6		202
6		203
6		216
6		223
6		237
6		242
6		246
6		257
6		259
6		261
6		268
6		272
6		274
6		285
6		293
6		298
6		302
6		303
6		306
6		308
6		309
6		310
6		317
6		321
6		340
6		367
6		405
6		408
6		410
6		419
6		425
6		427
6		435
6		460
6		461
6		462
6		464
6		465
6		468
