0	1	2	3	4	5	6

1		122	4	1		
1		185	4	0		
1		231	4	1		
1		316	4	0		
1		329	4	0		
1		466	4	1		
2		110	4	0		
2		151	2	0		
3		110	3	0		
3		151	3	0		
3		213	4	2		
4		21	2	1		
4		110	4	0		
4		153	4	0		
4		161	4	0		
4		165	4	0		
4		208	2	0		
4		231	0	1		
4		253	2	3		
4		266	4	2		
4		316	4	0		
4		317	4	1		
4		329	4	0		
5		1	0	4		
5		7	2	1		
5		25	2	2		
5		28	2	2		
5		32	4	7		
5		47	4	2		
5		57	2	1		
5		194	2	1		
5		230	3	6		
5		232	2	1		
5		235	3	5		
5		242	2	5		
5		249	3	5		
5		253	2	3		
5		306	2	2		
5		307	3	2		
5		308	2	1		
5		321	2	1		
5		326	4	2		
5		334	4	1		
5		475	2	5		
5		495	4	2		
6		32	4	7		
6		457	4	0		
7		32	3	7		
7		50	3	6		
8		2	1	8		
8		5	2	1		
8		6	3	0		
8		16	2	5		
8		19	2	8		
8		22	1	6		
8		31	2	5		
8		32	3	7		
8		47	3	2		
8		50	4	6		
8		70	4	0		
8		93	2	1		
8		104	3	1		
8		153	2	0		
8		158	2	1		
8		160	2	0		
8		163	3	0		
8		164	1	0		
8		165	3	0		
8		170	2	1		
8		180	2	1		
8		196	2	0		
8		208	1	0		
8		215	3	2		
8		216	3	1		
8		223	2	1		
8		231	2	1		
8		240	3	9		
8		253	2	3		
8		256	1	1		
8		288	3	6		
8		290	3	6		
8		315	1	0		
8		316	3	0		
8		324	2	1		
8		328	4	0		
8		330	1	3		
8		338	3	0		
8		455	1	8		
8		457	2	0		
8		471	2	1		
9		50	4	6		
9		104	1	1		
9		235	4	5		
10		7	2	1		
10		17	3	2		
10		21	4	1		
10		25	2	2		
10		62	3	2		
10		236	3	1		
10		265	4	2		
10		306	2	2		
10		308	2	1		
10		454	2	2		
10		457	3	0		
12		5	2	1		
12		253	2	3		
12		454	2	2		
13		2	2	8		
13		20	2	0		
13		23	3	0		
13		31	1	5		
13		50	4	6		
13		71	1	0		
13		88	3	1		
13		253	3	3		
13		266	2	2		
13		315	3	0		
13		325	2	8		
13		471	2	1		
14		1	2	4		
14		2	2	8		
14		333	2	1		
16		29	3	9		
16		32	4	7		
16		196	1	0		
16		198	1	0		
17		32	2	7		
17		50	2	6		
18		1	2	4		
18		2	2	8		
18		5	0	1		
18		7	1	1		
18		10	3	0		
18		11	2	1		
18		17	3	2		
18		20	2	0		
18		23	3	0		
18		25	3	2		
18		32	3	7		
18		45	3	1		
18		47	3	2		
18		62	3	2		
18		104	2	1		
18		105	2	2		
18		110	3	0		
18		163	3	0		
18		165	3	0		
18		169	0	8		
18		186	1	1		
18		203	2	1		
18		216	2	1		
18		225	2	2		
18		231	1	1		
18		252	2	1		
18		253	3	3		
18		276	2	1		
18		288	3	6		
18		290	3	6		
18		317	1	1		
18		318	3	6		
18		457	3	0		
18		491	1	2		
18		494	3	0		
19		5	2	1		
19		10	3	0		
19		13	3	4		
19		17	4	2		
19		21	3	1		
19		28	4	2		
19		31	3	5		
19		45	1	1		
19		46	3	1		
19		50	4	6		
19		62	3	2		
19		110	4	0		
19		161	2	0		
19		165	2	0		
19		204	1	0		
19		207	3	2		
19		222	4	2		
19		224	4	1		
19		246	4	10		
19		249	3	5		
19		253	2	3		
19		254	1	5		
19		277	4	11		
19		279	3	2		
19		282	3	2		
19		318	3	6		
19		327	3	0		
19		329	3	0		
19		449	2	1		
19		450	3	1		
19		457	3	0		
19		466	2	1		
19		469	1	2		
19		471	1	1		
19		474	3	0		
19		475	3	5		
19		491	3	2		
22		19	0	8		
22		21	3	1		
22		32	3	7		
22		47	3	2		
22		50	3	6		
22		110	4	0		
22		153	2	0		
22		161	3	0		
22		165	2	0		
22		185	2	0		
22		208	3	0		
22		225	2	2		
22		231	2	1		
22		253	2	3		
22		266	2	2		
22		288	0	6		
22		316	3	0		
22		317	2	1		
22		329	3	0		
22		454	2	2		
23		1	4	4		
23		7	2	1		
23		17	4	2		
23		21	3	1		
23		32	4	7		
23		47	3	2		
23		50	4	6		
23		62	2	2		
23		223	3	1		
23		232	4	1		
23		282	3	2		
23		306	4	2		
23		319	3	6		
23		337	3	2		
23		457	2	0		
24		1	4	4		
24		5	3	1		
24		6	2	0		
24		7	3	1		
24		17	4	2		
24		32	2	7		
24		62	4	2		
24		64	4	1		
24		94	2	1		
24		104	3	1		
24		494	3	0		
26		10	3	0		
26		19	0	8		
26		47	4	2		
26		110	4	0		
26		153	2	0		
26		161	4	0		
26		165	3	0		
26		185	3	0		
26		208	2	0		
26		316	3	0		
26		329	3	0		
26		454	3	2		
26		457	4	0		
27		32	3	7		
27		65	2	1		
27		79	1	2		
27		88	2	1		
27		100	2	2		
27		102	2	1		
27		135	1	1		
27		494	3	0		
30		1	4	4		
30		11	4	1		
30		17	4	2		
30		28	4	2		
30		47	3	2		
30		62	4	2		
30		104	4	1		
30		110	4	0		
30		116	4	10		
30		151	4	0		
30		161	4	0		
30		185	3	0		
30		208	2	0		
30		230	4	6		
30		235	4	5		
30		248	3	1		
30		253	2	3		
30		266	4	2		
30		282	4	2		
30		317	2	1		
30		318	4	6		
30		454	3	2		
30		466	1	1		
33		1	3	4		
33		6	2	0		
33		7	2	1		
33		17	3	2		
33		32	2	7		
33		62	2	2		
34		1	2	4		
34		2	2	8		
34		5	2	1		
34		8	2	8		
34		9	2	0		
34		19	1	8		
34		22	2	6		
34		23	3	0		
34		24	4	2		
34		25	1	2		
34		29	2	9		
34		32	2	7		
34		47	3	2		
34		50	3	6		
34		62	2	2		
34		63	1	1		
34		65	1	1		
34		69	2	1		
34		70	1	0		
34		79	2	2		
34		86	2	8		
34		88	2	1		
34		104	3	1		
34		105	1	2		
34		110	4	0		
34		126	1	8		
34		132	1	0		
34		153	1	0		
34		158	1	1		
34		160	1	0		
34		161	2	0		
34		163	2	0		
34		165	1	0		
34		168	2	0		
34		181	0	0		
34		185	2	0		
34		186	2	1		
34		188	2	0		
34		196	1	0		
34		204	0	0		
34		208	0	0		
34		216	1	1		
34		227	2	0		
34		230	2	6		
34		231	1	1		
34		236	3	1		
34		238	2	8		
34		240	2	9		
34		246	1	10		
34		247	1	5		
34		252	2	1		
34		253	2	3		
34		257	2	0		
34		265	1	2		
34		266	1	2		
34		275	2	1		
34		276	2	1		
34		315	2	0		
34		316	3	0		
34		317	3	1		
34		318	4	6		
34		329	0	0		
34		333	4	1		
34		450	3	1		
34		454	2	2		
34		457	3	0		
34		464	2	0		
34		466	1	1		
34		473	0	1		
34		474	3	0		
34		491	3	2		
34		493	1	6		
35		1	2	4		
35		32	2	7		
35		47	3	2		
35		63	0	1		
35		70	2	0		
35		160	2	0		
35		165	2	0		
35		223	0	1		
35		319	2	6		
35		494	0	0		
36		1	3	4		
36		2	2	8		
36		6	4	0		
36		10	2	0		
36		11	1	1		
36		13	3	4		
36		16	4	5		
36		18	3	1		
36		21	2	1		
36		24	2	2		
36		50	4	6		
36		63	2	1		
36		70	2	0		
36		104	4	1		
36		153	1	0		
36		158	2	1		
36		163	3	0		
36		165	3	0		
36		180	4	1		
36		208	2	0		
36		216	4	1		
36		223	3	1		
36		231	4	1		
36		239	1	4		
36		246	2	10		
36		250	3	1		
36		288	2	6		
36		316	2	0		
36		317	2	1		
36		333	4	1		
36		454	3	2		
36		457	3	0		
36		494	1	0		
37		32	2	7		
37		47	3	2		
37		50	2	6		
37		70	1	0		
37		110	2	0		
37		223	3	1		
37		318	2	6		
37		319	2	6		
38		10	3	0		
38		22	3	6		
38		47	3	2		
38		62	1	2		
38		110	2	0		
38		160	3	0		
38		185	2	0		
38		208	3	0		
38		218	3	1		
38		231	0	1		
38		266	3	2		
38		316	2	0		
38		318	3	6		
38		454	3	2		
38		457	3	0		
40		50	4	6		
40		223	2	1		
40		235	4	5		
40		246	3	10		
40		290	2	6		
40		318	4	6		
40		457	3	0		
41		45	1	1		
41		69	2	1		
41		105	2	2		
41		163	1	0		
41		195	2	1		
41		223	2	1		
41		236	2	1		
41		276	2	1		
42		46	3	1		
42		110	3	0		
42		151	3	0		
42		165	2	0		
43		1	3	4		
43		5	4	1		
43		7	4	1		
43		11	4	1		
43		17	4	2		
43		104	4	1		
43		205	3	1		
43		216	4	1		
43		236	4	1		
43		289	4	1		
43		317	4	1		
44		16	3	5		
44		17	4	2		
44		25	4	2		
44		50	4	6		
44		125	4	1		
44		162	4	10		
44		265	4	2		
44		290	4	6		
44		314	4	2		
44		318	4	6		
44		457	3	0		
45		50	4	6		
45		70	1	0		
45		110	4	0		
45		235	2	5		
45		266	3	2		
45		457	3	0		
46		163	0	0		
46		165	2	0		
47		1	2	4		
47		2	2	8		
47		10	4	0		
47		19	3	8		
47		32	3	7		
47		50	4	6		
47		110	4	0		
47		153	3	0		
47		165	4	0		
47		208	3	0		
47		231	3	1		
47		253	4	3		
47		316	2	0		
47		318	4	6		
50		10	2	0		
50		110	4	0		
50		151	4	0		
50		153	2	0		
50		160	0	0		
50		165	1	0		
50		185	2	0		
50		186	1	1		
50		231	2	1		
50		236	2	1		
50		252	2	1		
50		253	4	3		
50		266	4	2		
50		288	1	6		
50		318	3	6		
50		454	2	2		
50		457	3	0		
51		7	1	1		
51		11	2	1		
51		17	4	2		
51		194	4	1		
51		471	4	1		
51		492	4	1		
52		50	2	6		
52		288	0	6		
53		50	4	6		
53		185	1	0		
54		10	3	0		
54		11	0	1		
54		47	2	2		
54		50	3	6		
54		62	2	2		
54		105	2	2		
54		110	4	0		
54		161	3	0		
54		165	3	0		
54		185	2	0		
54		231	0	1		
54		277	4	11		
54		288	2	6		
54		316	2	0		
54		317	1	1		
54		318	3	6		
54		329	2	0		
54		454	3	2		
54		457	3	0		
54		474	2	0		
55		162	4	10		
55		203	1	1		
55		236	2	1		
56		1	3	4		
56		2	1	8		
56		10	2	0		
56		16	4	5		
56		50	3	6		
56		110	2	0		
56		153	0	0		
56		235	4	5		
56		492	4	1		
57		1	3	4		
57		5	3	1		
57		6	3	0		
57		7	3	1		
57		9	4	0		
57		17	2	2		
57		18	2	1		
57		25	3	2		
57		32	3	7		
57		62	2	2		
57		65	2	1		
57		79	3	2		
57		86	3	8		
57		88	3	1		
57		102	3	1		
57		104	4	1		
57		135	3	1		
57		494	4	0		
58		1	3	4		
58		25	3	2		
58		50	4	6		
58		110	2	0		
58		199	3	2		
58		235	3	5		
58		318	3	6		
58		337	3	2		
59		10	3	0		
59		153	2	0		
59		161	4	0		
59		165	2	0		
59		185	2	0		
59		231	2	1		
59		316	2	0		
59		318	4	6		
59		457	4	0		
60		7	0	1		
60		17	4	2		
60		25	3	2		
60		45	2	1		
60		47	2	2		
60		50	3	6		
60		79	1	2		
60		99	2	10		
60		105	2	2		
60		156	1	1		
60		194	3	1		
60		247	2	5		
60		318	4	6		
60		337	2	2		
60		494	1	0		
61		62	3	2		
61		105	3	2		
61		318	4	6		
62		10	2	0		
62		110	4	0		
62		153	3	0		
62		161	4	0		
62		165	2	0		
62		185	4	0		
62		208	2	0		
62		231	2	1		
62		253	2	3		
62		288	2	6		
62		316	3	0		
62		318	1	6		
62		329	2	0		
62		457	4	0		
63		164	1	0		
64		1	3	4		
64		6	2	0		
64		17	2	2		
64		25	4	2		
64		32	2	7		
64		79	1	2		
64		100	2	2		
64		494	3	0		
65		1	2	4		
65		2	2	8		
65		11	2	1		
65		17	3	2		
65		19	1	8		
65		28	3	2		
65		32	3	7		
65		60	2	11		
65		64	2	1		
65		72	2	1		
65		102	1	1		
65		105	2	2		
65		110	2	0		
65		129	2	1		
65		135	3	1		
65		151	3	0		
65		153	2	0		
65		158	3	1		
65		168	1	0		
65		169	1	8		
65		186	2	1		
65		195	2	1		
65		207	2	2		
65		224	2	1		
65		225	1	2		
65		232	1	1		
65		236	2	1		
65		239	1	4		
65		252	2	1		
65		254	1	5		
65		265	2	2		
65		275	3	1		
65		282	2	2		
65		289	3	1		
65		316	3	0		
65		317	3	1		
65		318	2	6		
65		329	2	0		
65		337	2	2		
65		455	1	8		
65		466	2	1		
65		468	2	1		
65		471	2	1		
66		19	1	8		
66		32	4	7		
66		50	3	6		
66		266	2	2		
67		10	3	0		
67		21	3	1		
67		45	2	1		
67		47	4	2		
67		50	4	6		
67		110	4	0		
67		153	2	0		
67		161	3	0		
67		163	3	0		
67		165	4	0		
67		168	3	0		
67		170	2	1		
67		185	2	0		
67		196	2	0		
