0.02702 mutation probability 		0.3 mutation probability 	
 -3937.690  	97	 -3937.690  	97
-3937.580  	54	-3937.735  	65
-3937.507  	40	-3937.777  	49
-3937.443  	31	-3937.755  	47
-3937.350  	26	-3937.698  	40
-3937.298  	23	-3937.497  	35
-3937.243  	20	-3937.369  	34
-3937.193  	18	-3937.328  	40
-3937.152  	18	-3937.258  	38
-3937.108  	17	-3937.236  	35
-3937.060  	16	-3937.220  	33
-3937.017  	15	-3937.154  	31
-3936.950  	14	-3937.087  	29
-3936.919  	14	-3937.044  	28
-3936.873  	13	-3937.059  	26
-3936.814  	12	-3937.039  	25
-3936.775  	12	-3937.031  	25
-3936.744  	12	-3937.002  	24
-3936.721  	11	-3936.977  	23
-3936.692  	11	-3936.974  	22
-3936.655  	10	-3936.969  	22
-3936.638  	10	-3936.970  	21
-3936.633  	10	-3936.987  	21
-3936.608  	10	-3936.996  	20
-3936.596  	9	-3936.986  	20
